English,standard bangla,garo,marma,chakma
We cook every day,আমরা প্রতিদিন রান্না করি,চিঙয়া ,ঙো নিংদৈং খ্যাক্ তে,আমি নিততো রানি
Where does it hurt?,এটা কোথায় ব্যাথা করে?,বানো সাদিকঙা?,জা আড়া মা নাড়ে লে?,ইয়াান হুবোত পিরি গরে?
When was he born?,সে কখন জন্মেছিল?,না্আ বাসকো আছিয়ামুঙ?,য়াসু জা্খা মুইংরে লে?,তে হক্কেনে জন্মেয়ি?
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,আ্ঙা মামুঙখন নিনা মানজাঙজক ,ঙা ত্খু্বাং ম্রাং ,মুই হিচ্ছু সে নোপারঙ অর
I don't agree with you,আমি আপনার সাথে একমত নই,এহে নাঙমু লগে আ্ঙা এক হঙজা ,ঙা কো লা চ্গা ত্খৈং ম্হক্,মুই তর লেই সহমত নই
How do you get to school?,তুমি কিভাবে স্কুলে আস?,না্আ বারিকি স্কুল চা হিবাঙা?,নাং ম্জং প্যাংব চাক্যং দো লেটে লে? ,তুই হেঙোরি স্কুলত এজজ?
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,আঙচা থাঙকা দঙ‌ওদে আ্ঙা বিরিনা মাননোমুঙ ,ঙা মা টেঙা হিগ্যি ঙা লিসউ ওউইন্হেং লি হো,ম ইদু টেঙা যেলে মুই হিনি পারিদুঙ
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন","বি'য়া রিবাওদে, বিখো সেঙখানা আগানা করিস ",য়াসু লেহো ছুগ্যে য়াসু গো চং ছু ল,"তে যদি এজে, তারে বাচ্ছে যেবার হোজ"
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মিখ্খা ওয়াওদে, আচিঙ সুসিগেন","মু রু্ওয়ারে ছুগ্যে, ঙো মু চু্ওয়েকেহো ব্যা","যুদি ঝড় দে, আমি বিজি জেবং"
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,আ্ঙনি খিন্নি নাম্মিন রজকসা ,ঙা মা ছেংবাং এর্মা হ্রীব্যা,মো হেচ্ছানি দাঙ আর উয়ি
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,আ্ঙনি আমা নক্কন দঙ‌আরিঙ‌আ,ঙো দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র ইংমা নিংড়ে,মো মা সবসময় গরত থাই।
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ইয়া পাগারো নাথক বাঙ‌আ,ই ওয়েইং মা এর্মা ঙাঃ হিরিরে,এই হ্রদতানত বালুক্কুন মাজ আগে
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,,আওকং প্যাংহো কিজু এর্মা সমস্যা হীরে,সমাধান গুরিবাল্লাই বালোক্কানি সমস্যা আগে
There is nothing wrong with him,তার সাথে কোন ভুল নেই,,য়াসুলা ব ত্খুবাং আম্হা মিহি,তা লঙে হোনো ভুল নেই
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,,মো লি প্পপাং পয়াংব হ্লিরি,হঠাৎ গুরি দেবা আন বুদুলি গেলো
No one was in the garden,বাগানে কেউ ছিল না,,য়ইং মা ত্যক্পাং মিহিলিই,বাগান আনত হেয়ো নয়েলাক
There was no one there,সেখানে কেউ ছিল না,,য়াদে ত্যক্পাং মিহিলি,সিওত হেয়োজন নয়েলাক
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,,ইলামা ঙাখ্ক এসেএওয়ব্যে ফ্রকেরে,এই মাজই পাচ্চু হুন উয়ি
They praise each other,তারা একে অপরের প্রশংসা করে,,ইয়াস্রু ত্যক্কো  ত্যক আকং প্রগেতে,অ তারা যে যারে নাম গরন
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,,ইয়াসরু ত্লামা অ্যালুলুকেহু মনে গেড়ে,তারা এক লঙে হাম গুরিবার রাজি উয়োন
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,,ইয়াস্রু নহইয়ক চুং অকং চাখ্যা ছ্ড়া,তারা দুঅবু গম মাস্টর
We want something new,আমরা নতুন কিছু চাই,,ঙো অস টখুমসা লুরে,আমি নুয়ো হিচ্ছু সেই
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,,ঙো আমা স্দি ফ্রোরাহু,আমার বেক্কুনের সতর্ক অনা দরকার
